"","speciesId","species_lsid","family","genus","species","subspecies","author","year","parentheses","distribution"
"1",1,"urn:lsid:nmbe.ch:spidersp:000896","Actinopodidae","Actinopus","caraiba","","Simon",1889,1,"Venezuela"
"2",2,"urn:lsid:nmbe.ch:spidersp:000898","Actinopodidae","Actinopus","crassipes","","Keyserling",1891,1,"Brazil, Paraguay, Argentina"
"3",3,"urn:lsid:nmbe.ch:spidersp:000899","Actinopodidae","Actinopus","cucutaensis","","Mello-Leitão",1941,0,"Colombia, Venezuela, Brazil"
"4",4,"urn:lsid:nmbe.ch:spidersp:000900","Actinopodidae","Actinopus","dubiomaculatus","","Mello-Leitão",1923,0,"Brazil"
"5",5,"urn:lsid:nmbe.ch:spidersp:000901","Actinopodidae","Actinopus","echinus","","Mello-Leitão",1949,0,"Brazil"
"6",6,"urn:lsid:nmbe.ch:spidersp:000902","Actinopodidae","Actinopus","fractus","","Mello-Leitão",1920,0,"Brazil"
"7",7,"urn:lsid:nmbe.ch:spidersp:000903","Actinopodidae","Actinopus","harti","","Pocock",1895,0,"Trinidad"
"8",8,"urn:lsid:nmbe.ch:spidersp:000904","Actinopodidae","Actinopus","insignis","","Holmberg",1881,1,"Uruguay, Argentina"
"9",9,"urn:lsid:nmbe.ch:spidersp:000905","Actinopodidae","Actinopus","liodon","","Ausserer",1875,1,"Uruguay"
"10",10,"urn:lsid:nmbe.ch:spidersp:000906","Actinopodidae","Actinopus","longipalpis","","C. L. Koch",1842,0,"Uruguay, Argentina"
"11",11,"urn:lsid:nmbe.ch:spidersp:000907","Actinopodidae","Actinopus","nattereri","","Doleschall",1871,1,"Brazil"
"12",12,"urn:lsid:nmbe.ch:spidersp:000908","Actinopodidae","Actinopus","nigripes","","Lucas",1834,1,"Brazil"
"13",13,"urn:lsid:nmbe.ch:spidersp:000909","Actinopodidae","Actinopus","paranensis","","Mello-Leitão",1920,0,"Brazil"
"14",14,"urn:lsid:nmbe.ch:spidersp:000910","Actinopodidae","Actinopus","pertyi","","Lucas",1843,0,"South America"
"15",15,"urn:lsid:nmbe.ch:spidersp:000911","Actinopodidae","Actinopus","piceus","","Ausserer",1871,1,"Brazil"
"16",16,"urn:lsid:nmbe.ch:spidersp:000912","Actinopodidae","Actinopus","princeps","","Chamberlin",1917,0,"Brazil"
"17",17,"urn:lsid:nmbe.ch:spidersp:000913","Actinopodidae","Actinopus","pusillus","","Mello-Leitão",1920,0,"Brazil"
"18",18,"urn:lsid:nmbe.ch:spidersp:000914","Actinopodidae","Actinopus","robustus","","O. Pickard-Cambridge",1892,1,"Panama"
"19",19,"urn:lsid:nmbe.ch:spidersp:000915","Actinopodidae","Actinopus","rojasi","","Simon",1889,1,"Venezuela"
"20",20,"urn:lsid:nmbe.ch:spidersp:000916","Actinopodidae","Actinopus","rufibarbis","","Mello-Leitão",1930,0,"Brazil"
"21",21,"urn:lsid:nmbe.ch:spidersp:000917","Actinopodidae","Actinopus","rufipes","","Lucas",1834,1,"Brazil"
"22",22,"urn:lsid:nmbe.ch:spidersp:000918","Actinopodidae","Actinopus","scalops","","Simon",1889,1,"Venezuela"
"23",23,"urn:lsid:nmbe.ch:spidersp:000919","Actinopodidae","Actinopus","tarsalis","","Perty",1833,0,"Brazil"
